,state,x,y
0,Himachal Pradesh,-118.0,215.0
1,Punjab,-160.0,184.0
2,Uttarakhand,-76.0,180.0
3,Haryana,-141.0,149.0
4,Rajasthan,-195.0,83.0
5,Uttar Pradesh,-34.0,90.0
6,Arunachal Pradesh,278.0,125.0
7,Sikkim,138.0,105.0
8,Assam,238.0,73.0
9,Nagaland,308.0,65.0
10,Bihar,86.0,56.0
11,Meghalaya,192.0,50.0
12,Manipur,273.0,30.0
13,Tripura,195.0,5.0
14,Mizoram,240.0,-9.0
15,Jharkhand,63.0,8.0
16,Gujarat,-247.0,-0.0
17,Madhya Pradesh,-94.0,-6.0
18,West Bengal,131.0,-10.0
19,Chhattisgarh,-8.0,-42.0
20,Odisha,44.0,-76.0
21,Maharashtra,-161.0,-92.0
22,Telangana,-75.0,-136.0
23,Goa,-211.0,-200.0
24,Andhra Pradesh,-69.0,-200.0
25,Karnataka,-165.0,-216.0
26,Tamil Nadu,-85.0,-292.0
27,Kerala,-160.0,-320.0
